rank,name,genre,play_type,demo_available,release_date,chart_count,notes
1,빈딕투스: 디파잉 페이트,액션 RPG,멀티,가능,출시예정,14,
2,와일드 게이트,슈팅,멀티,불가능,2025.07.23,9,1인칭 슈팅
3,Jump Ship,슈팅,멀티,가능,2025년,15,1인칭 슈팅
4,MIMESIS,공포,멀티,불가능,2025년 3분기,6,
5,Zoochosis,액션,싱글,가능,출시예정,9,
6,프로젝트 DW,액션 RPG,멀티,불가능,2025년,12,
7,PIONER,MMORPG,멀티,불가능,2025년,5,오픈월드 MMO
8,,공포,싱글,가능,2025년 3분기,12,
9,UFL,스포츠,멀티,불가능,출시예정,5,축구
10,Starlight ReVolver,로그라이크,멀티,불가능,2025년 3분기,1,
11,,슈팅,싱글,가능,2025년,,1인칭 슈팅
12,,로그라이크,싱글,가능,출시예정,,
13,,건설,싱글,가능,2025년,,우주
14,Anvil Empires,전략,멀티,불가능,출시예정,7,
15,,액션 어드벤처,싱글,가능,2025년,9,
