analysis_type,rank,tag_name,count,percentage,category
top_tags,1,3D,1,5%,그래픽
top_tags,2,Action,1,5%,장르
top_tags,3,Action RPG,1,5%,장르
top_tags,4,Action-Adventure,1,5%,장르
top_tags,5,Adventure,1,5%,장르
top_tags,6,Atmospheric,1,5%,분위기
top_tags,7,Character Customization,1,5%,특징
top_tags,8,Combat,1,5%,게임플레이
top_tags,9,Fantasy,1,5%,테마
top_tags,10,Hack and Slash,1,5%,게임플레이
top_tags,11,Medieval,1,5%,테마
top_tags,12,Multiplayer,1,5%,플레이 스타일
top_tags,13,Online Co-Op,1,5%,플레이 스타일
top_tags,14,Open World,1,5%,게임플레이
top_tags,15,RPG,1,5%,장르
top_tags,16,Sexual Content,1,5%,특징
top_tags,17,Singleplayer,1,5%,플레이 스타일
top_tags,18,Souls-like,1,5%,게임플레이
top_tags,19,Story Rich,1,5%,특징
top_tags,20,Third Person,1,5%,시점
