support_type,rank,language,game_count,percentage,priority,note
interface,1,영어,50,100%,필수,글로벌 기본
interface,2,중국어 간체,46,92%,필수,최대 시장
interface,3,한국어,35,70%,권장,아시아 주요
interface,4,일본어,34,68%,권장,AAA 필수
interface,5,중국어 번체,27,54%,권장,대만/홍콩
interface,6,러시아어,28,56%,선택,
interface,7,프랑스어,26,52%,선택,
summary,voice,음성 지원,5,42%,,TOP 10 기준
summary,interface_avg,인터페이스 평균,,7.8개,,
summary,subtitle_avg,자막 평균,,8.2개,,
strategy,인디,영어+중국어+한국어,3,,,최소 필수
strategy,AA급,위 3개 + 일본어/러시아어 추가,5,,,권장
strategy,AAA급,10개 이상 다국어,10,,,필수
strategy,유럽,스페인어/프랑스어/독일어,3,,,유럽 공략 시
strategy,남미,포르투갈어(브라질),1,,,남미 공략 시
